Nom, Vietnamese translated by hcmus
斬羅德代阮興讓絞謝世保󰰾鄭𥒥黎有禮職爵貶鄭柱爲都督,trảm la đức đại nguyễn hưng nhượng giảo tạ thế bảo bãi trịnh đá lê hữu lễ chức tước biếm trịnh trụ vi đô đốc
同知,đồng tri
又以舍吏杜公魁陳有財㸔戦徇私以過爲功並刖指,hựu dĩ xá lại đỗ công khôi trần hữu tài khán chiến tuẫn tư dĩ quá vi công tịnh ngoạt chỉ
又論水道功過,hựu luận thuỷ đạo công quá
以武文添爲左都督復仍張得壽爲程郡公貶阮有敕職爵,dĩ vũ văn thiêm vi tả đô đốc phục nhưng trương đắc thọ vi trình quận công biếm nguyễn hữu sắc chức tước
冬十月命左都督寧郡公鄭㯀爲統領陪從僉都御史鳳池男黎廷譽爲督視監察御史鄭世濟爲副督視都督同知當郡公陶光饒爲督率陪從户科都給事中壽領伯潘興造爲督視監察御史阮佐相爲副督視都督僉事東郡公黎有德爲督率陪從工科給事中壽桂男潘兼全爲,đông thập nguyệt mệnh tả đô đốc ninh quận công trịnh toàn vi thống lĩnh bồi tòng thiêm đô ngự sử phượng trì nam lê đình dự vi đốc thị giám sát ngự sử trịnh thế tế vi phó đốc thị đô đốc đồng tri đương quận công đào quang nhiêu vi đốc suất bồi tòng hộ khoa đô cấp sự trung thọ lĩnh bá phan hưng tạo vi đốc thị giám sát ngự sử nguyễn tá tương vi phó đốc thị đô đốc thiêm sự đông quận công lê hữu đức vi đốc suất bồi tòng công khoa cấp sự trung thọ quế nam phan kiêm toàn vi
督視,đốc thị
復遣左都督巄郡公武文添督率水軍以吏部有視郎壽林男楊湖爲督視分道討賊,phục khiến tả đô đốc lung quận công võ văn thiêm đốc suất thuỷ quân dĩ lại bộ hữu thị lang thọ lâm nam dương hồ vi đốc thị phân đạo thảo tặc
進至奇華地方賊兵自退,tiến chí kỳ hoa địa phương tặc binh tự thoái
十一月鄭㯀陶光饒黎有德等回兵于安塲,thập nhất nguyệt trịnh toàn đào quang nhiêu lê hữu đức đẳng hồi binh vu an trường
西定王令諸将班師回京留武文添爲鎮守楊湖爲督視陶光饒爲屯守潘興造爲督視領所属諸将駐營于真福安塲,tây định vương lệnh chư tướng ban sư hồi kinh lưu vũ văn thiêm vi trấn thủ dương hồ vi đốc thị đào quang nhiêu vi đồn thủ phan hưng tạo vi đốc thị lĩnh sở thuộc chư tướng trú dinh vu chân phúc an trường
又差属将提督󱗯郡公申文觥參督頼郡公閔文蓮該隊阮如珪黎文進黎文暿等屯接武社名朗郡公頼世時屯明良社名控禦賊徒,hựu sai thuộc tướng đề đốc níp quận công thân văn quanh tham đốc lại quận công mẫn văn liên cai đội nguyễn như khuê lê văn tiến lê văn hi đẳng truân tiếp vũ xã danh lãng quận công lại thế thời đồn minh lương xã danh khống ngự tặc đồ
十二,thập nhị
月以鄭㯀爲少保開營號左翊内軍頒營印,nguyệt dĩ trịnh toàn vi thiếu bảo khai dinh hiệu tả dực nội quân ban dinh ấn
丙申四年明永曆十年清順治十二春正月申文觥閔文蓮阮如珪黎文進黎文暿等爲賊所襲敗走,bính thân tứ niên minh vĩnh lịch thập niên thanh thuận trị thập nhị xuân chính nguyệt thân văn quanh mẫn văn liên nguyễn như khuê lê văn tiến lê văn hi đẳng vi tặc sở tập bại tẩu
賊兵乘勝再出三制江夾擊官兵,tặc binh thừa thắng tái xuất tam chế giang giáp kích quan binh
武公桄先登夾陣力戦破賊,võ công quang tiên đăng giáp trận lực chiến phá tặc
黎仕厚接救斫刀射中賊象,lê sĩ hậu tiếp cứu chước đao xạ trung tặc tượng
武文僉史范公勝登岸夾射斬得象牙,vũ văn thiêm sử phạm công thắng đăng ngạn giáp xạ trảm đắc tượng nha
是月論功,thị nguyệt luận công
以仕厚爲提督公桄爲參督程富侯,dĩ sĩ hậu vi đề đốc công quang vi tham đốc trình phú hầu
命太保鄭㯀統領諸將鎮撫乂安武文添陶光饒等並属焉,mệnh thái bảo trịnh toàn thống lĩnh chư tướng trấn phủ nghệ an võ văn thiêm đào quang nhiêu đẳng tịnh thuộc yên
以吏科都給事中吳仕榮兵科給事中武榮進,dĩ lại khoa đô cấp sự trung ngô sĩ vinh binh khoa cấp sự trung vũ vinh tiến
爲督視,vi đốc thị
夏五月賊入南界海門襲擊,hạ ngũ nguyệt tặc nhập nam giới hải môn tập kích
黎仕厚阮有勅裴仕良蔡伯秩等皆敗走棄其船艘銃磾器械,lê sĩ hậu nguyễn hữu sắc bùi sĩ lương thái bá trật đẳng giai bại tẩu khí kì thuyền sưu súng đạn khí giới
賊遂入丹涯海門,tặc toại nhập đan nhai hải môn
文僉等力不能敵亦棄船走,văn thiêm đẳng lực bất năng địch diệc khí thuyền tẩu
賊奄至圍陶光饒于石河香僕鄭㯀督諸將進至排陣奮擊,tặc yêm chí vi đào quang nhiêu vu thạch hà hương bộc trịnh toàn đốc chư tướng tiến chí bài trận phấn kích
見賊勢大張㯀以本命旗授與督視楊湖,kiến tặc thế đại trương toàn dĩ bản mệnh kì thụ dữ đốc thị dương hồ
湖忠氣激烈先自乘象揮諸軍直進,hồ trung khí kích liệt tiên tự thừa tượng huy chư quân trực tiến
㯀督騎兵衝擊,toàn đốc kỵ binh xung kích
於是光饒等大開壘門出戦,ư thị quang nhiêu đẳng đại khai luỹ môn xuất chiến
賊敗走,tặc bại tẩu
官軍夾擊于大奈地方,quan quân giáp kích vu đại nại địa phương
大奈社名属石河縣追殺其多收得象馬器械銃磾不可勝数,đại nại xã danh thuộc thạch hà huyện truy sát kì đa thu đắc tượng mã khí giới súng đạn bất khả thắng sổ
㯀再率,toàn tái suất
属将回駐安塲,thuộc tướng hồi trú an trường
閏月論大奈功,nhuận nguyệt luận đại nại công
封鄭㯀欽差節制属水步諸營兼行下撫治乂安道副都将太尉寧國公開揚威府督視楊湖爲工部左侍郎壽林伯吳士榮爲光禄寺卿理海侯潘興造爲太僕寺卿壽領侯武榮進爲户科都給事中麗海子,phong trịnh toàn khâm sai tiết chế thuộc thuỷ bộ chư dinh kiêm hành hạ phủ trị nghệ an đạo phó đô tướng thái uý ninh quốc công khai dương uy phủ đốc thị dương hồ vi công bộ tả thị lang thọ lâm bá ngô sĩ vinh vi quang lộc tự khanh lí hải hầu phan hưng tạo vi thái bộc tự khanh thọ lĩnh hầu vũ vinh tiến vi hộ khoa đô cấp sự trung lệ hải tử
擢陞陶光饒爲少保黎時憲爲都督同知黄義袗閔文蓮爲都督僉事鄧世功黄義膠丁文左黎文進陶世僊黎文隆枚文孝爲提督郡公爵阮授譚景堅鄭盤爲提督吳文仕黎登,trạc thăng đào quang nhiêu vi thiếu bảo lê thì hiến vi đô đốc đồng tri hoàng nghĩa chẩn mẫn văn liên vi đô đốc thiêm sự đặng thế công hoàng nghĩa giao đinh văn tả lê văn tiến đào thế tiên lê văn long mai văn hiếu vi đề đốc quận công tước nguyễn thụ đàm cảnh kiên trịnh bàn vi đề đốc ngô văn sĩ lê đăng
任黎公朝爲參督,nhậm lê công triều vi tham đốc
賜阮有佐郡公爵,tứ nguyễn hữu tá quận công tước
以楊瓊阮世濟阮進堅爲署衛事,dĩ dương quỳnh nguyễn thế tế nguyễn tiến kiên vi thự vệ sự
又論退却罪,hựu luận thoái khước tội
貶武文添爲右都督阮文宴爲參督並收兵民之半,biếm võ văn thiêm vi hữu đô đốc nguyễn văn yến vi tham đốc tịnh thu binh dân chi bán
󰰾阮有勅職爵,bãi nguyễn hữu sắc chức tước
黎仕厚張得壽阮德揚杜澧以力戦既久孤軍難支免罪,lê sĩ hậu trương đắc thọ nguyễn đức dương đỗ lễ dĩ lực chiến ký cửu cô quân nạn chi miễn tội
追論陣亡贈尹䏻爲都督同知䄚郡公唯給祭田民禄立祠祭祀贈裴仕良爲參督壽郡公蔡伯璹爲署衛事演郡公阮文繡爲提督通郡公並給祭田民禄祀事,truy luận trận vong tặng doãn năng vi đô đốc đồng tri tào quận công duy cấp tế điền dân lộc lập từ tế tự tặng bùi sĩ lương vi tham đốc thọ quận công thái bá đào vi thự vệ sự diễn quận công nguyễn văn tú vi đề đốc thông quận công tịnh cấp tế điền dân lộc tự sự
以西定王世子鄭根爲副都将太保富郡公開,dĩ tây định vương thế tử trịnh căn vi phó đô tướng thái bảo phú quận công khai
營號佐國營頒佐國将軍印次子鄭棟爲少傅武郡公開營號中匡軍頒營印鄭榩爲少保雲郡公,dinh hiệu tá quốc dinh ban tá quốc tướng quân ấn thứ tử trịnh đống vi thiếu phó võ quận công khai dinh hiệu trung khuông quân ban dinh ấn trịnh kiền vi thiếu bảo vân quận công
以鄭欐爲副都将太保壽郡公鄭脩爲副将少尉晋郡公,dĩ trịnh lệ vi phó đô tướng thái bảo thọ quận công trịnh tu vi phó tướng thiếu uý tấn quận công
六月命佐國營副都将太保富郡公鄭根統領諸将往乂安處恊同寧國公鄭㯀討賊,lục nguyệt mệnh tá quốc dinh phó đô tướng thái bảo phú quận công trịnh căn thống lĩnh chư tướng vãng nghệ an xứ hiệp đồng ninh quốc công trịnh toàn thảo tặc
十八日進至安塲駐營,thập bát nhật tiến chí an trường trú dinh
以太僕寺卿潘興造禮科給事中勇川男陳文󰱇爲督視,dĩ thái bộc tự khanh phan hưng tạo lễ khoa cấp sự trung dũng xuyên nam trần văn tuyển vi đốc thị
九月命太保壽郡公鄭欐爲統領刑科給事中梁谊爲督視少傅武郡公鄭棟爲督率户科給,cửu nguyệt mệnh thái bảo thọ quận công trịnh lệ vi thống lĩnh hình khoa cấp sự trung lương nghị vi đốc thị thiếu phó vũ quận công trịnh đống vi đốc suất hộ khoa cấp
事中馮曰脩爲督視各率所属往乂安接應,sự trung phùng viết tu vi đốc thị các suất sở thuộc vãng nghệ an tiếp ứng
冬十月會試天下士人,đông thập nguyệt hội thí thiên hạ sĩ nhân
取中格阮廷柱等六名,thủ trung cách nguyễn đình trụ đẳng lục danh
十一月屯鎮諸軍並進過南河,thập nhất nguyệt đồn trấn chư quân tịnh tiến quá nam hà
寧國公鄭㯀屯兵于廣勸太保富郡公鄭根駐兵于拨擢廣勸拨擢二社属天禄縣名各令諸軍浚壕築壘分守要處密差人偵探賊情洞知虚實,ninh quốc công trịnh toàn đồn binh vu quảng khuyến thái bảo phú quận công trịnh căn trú binh vu bạt trạc quảng khuyến bạt trạc nhị xã thuộc thiên lộc huyện danh các lệnh chư quân tuấn hào trúc luỹ phân thủ yếu xứ mật sai nhân trinh thám tặc tình động tri hư thực
時節制鄭㯀恃功負氣隂懷異心日夜撫養将士靡金散玉無有限度乃自带兵回安塲,thời tiết chế trịnh toàn thị công phụ khí âm hoài dị tâm nhật dạ phủ dưỡng tướng sĩ mỹ kim tán ngọc vô hữu hạn độ nãi tự đái binh hồi an trường
統領官副都将太保富郡公鄭根揣知其意亦領諸軍回扶隆社名属興元縣繕脩,thống lĩnh quan phó đô tướng thái bảo phú quận công trịnh căn suỷ tri kì ý diệc lĩnh chư quân hồi phù long xã danh thuộc hưng nguyên huyện thiện tu
營壘以觀動靜,doanh luỹ dĩ quan động tĩnh
十二月殿試賜阮廷柱等同進士出身,thập nhị nguyệt điện thí tứ nguyễn đình trụ đẳng đồng tiến sĩ xuất thân
丁酉五年明永曆十一年清順治十三年,đinh dậu ngũ niên minh vĩnh lịch thập nhất niên thanh thuận trị thập tam niên
夏四月十六日大元帥統國政上主師父功髙聰斷仁聖清王薨,hạ tứ nguyệt thập lục nhật đại nguyên soái thống quốc chính thượng chủ sư phụ công cao thông đoạn nhân thánh thanh vương hoăng
追尊封爲誼王謚隆緒,truy tôn phong vi nghị vương thuỵ long tự
時鄭㯀逆謀既露其手下鄭檻張得名恐禍及己先遁降賊由是士卒解散一時属将皆趨附于佐國營,thời trịnh toàn nghịch mưu ký lộ kì thủ hạ trịnh hạm trương đắc danh khủng hoạ cập kỷ tiên độn hàng tặc do thị sĩ tốt giải tán nhất thì thuộc tướng giai xu phụ vu tá quốc doanh
㯀無計可施遂使人將本部象馬噐械獻于軍門且有乞憐之情,toàn vô kế khả thi toại sử nhân tương bản bộ tượng mã khí giới hiến vu quân môn thả hữu khất liên chi tình
統領官太保富郡公鄭根因借以古今順逆,thống lĩnh quan thái bảo phú quận công trịnh căn nhân tá dĩ cổ kim thuận nghịch
事理曉之且曰事已如此自當請闕待命,sự lý hiểu chi thả viết sự dĩ như thử tự đương thỉnh khuyết đãi mệnh
㯀聽之心懼自度不䏻免乃勉強赴京,toàn thính chi tâm cụ tự độ bất năng miễn nãi miễn cưỡng phó kinh
於是付下廷臣鞠問盡得其状,ư thị phó hạ đình thần cúc vấn tận đắc kì trạng
王以㯀至親不忍加誅遂奏請安置獄中,vương dĩ toàn chí thân bất nhẫn gia tru toại tấu thỉnh an trí ngục trung
先是鄭㯀隂圖不軌於内又有阮孽憑陵於外人情國步難屯,tiên thị trịnh toàn âm đồ bất quỹ ư nội hựu hữu nguyễn nghiệt bằng lăng ư ngoại nhân tình quốc bộ nạn truân
于時統領官副都将太保富郡公鄭根妙謀䧺斷鎮服群心故䏻杜惡逆於将萌殄寇攘於孔熾使人心不摇國家寧靖,vu thời thống lĩnh quan phó đô tướng thái bảo phú quận công trịnh căn diệu mưu hùng đoạn trấn phục quần tâm cố năng đỗ ác nghịch ư tướng manh điễn khấu nhương ư khổng xí sử nhân tâm bất diêu quốc gia ninh tĩnh
泰盤之勢從此益固矣,thái bàn chi thế tòng thử ích cố hĩ
五月以黎時憲爲右都督󰰾吳士榮職爵以時憲䏻,ngũ nguyệt dĩ lê thì hiến vi hữu đô đốc bãi ngô sĩ vinh chức tước dĩ thì hiến năng
棄鄭㯀先附佐國營而士榮爲督視不先啓诉也,khí trịnh toàn tiên phụ tá quốc dinh nhi sĩ vinh vi đốc thị bất tiên khải tố dã
以黄義膠爲都督同知,dĩ hoàng nghĩa giao vi đô đốc đồng tri
是月賜統領官副都将太保富郡公鄭根兼撫治乂安處添差潘兼全爲督視,thị nguyệt tứ thống lĩnh quan phó đô tướng thái bảo phú quận công trịnh căn kiêm phủ trị nghệ an xứ thiêm sai phan kiêm toàn vi đốc thị
六月統領官副都将太保富郡公鄭根差黎時憲黄義膠鄧世功等各領諸軍分道渡河,lục nguyệt thống lĩnh quan phó đô tướng thái bảo phú quận công trịnh căn sai lê thì hiến hoàng nghĩa giao đặng thế công đẳng các lĩnh chư quân phân đạo độ hà
時憲出正道左則義膠右則世功並進擊賊徒于南華地方南華社名属清漳縣,thì hiến xuất chính đạo tả tắc nghĩa giao hữu tắc thế công tịnh tiến kích tặc đồ vu nam hoa địa phương nam hoa xã danh thuộc thanh chương huyện
時憲義膠纔一交鋒破得賊壘,thì hiến nghĩa giao tài nhất giao phong phá đắc tặc luỹ
諸軍爭功深入行伍造次各自奔潰,chư quân tranh công thâm nhập hành ngũ tạo thứ các tự bôn hội
賊乘勢追至河邊,tặc thừa thế truy chí hà biên
統領官副都将太保,thống lĩnh quan phó đô tướng thái bảo
富郡公鄭根差内候兵縱射賊因退却,phú quận công trịnh căn sai nội hậu binh túng xạ tặc nhân thoái khước
鄧世功在右支横射拒戦,đặng thế công tại hữu chi hoành xạ cự chiến
枚文孝黎仕厚等亦差水兵上岸救應,mai văn hiếu lê sĩ hậu đẳng diệc sai thuỷ binh thượng ngạn cứu ưng
賊遂敗走,tặc toại bại tẩu
秋七月論南華陣戦功,thu thất nguyệt luận nam hoa trận chiến công
許陞職爵有差,hứa thăng chức tước hữu sai
以鄧世功爲有都督枚文孝爲都督同知阮授髙才黎仕厚並爲都督僉事吳文仕阮進堅阮德揚爲參督,dĩ đặng thế công vi hữu đô đốc mai văn hiếu vi đô đốc đồng tri nguyễn thụ cao tài lê sĩ hậu tịnh vi đô đốc thiêm sự ngô văn sĩ nguyễn tiến kiên nguyễn đức dương vi tham đốc
賜黎公朝爵拨郡公譚景提爵進郡公阮如珪爵覇郡公,tứ lê công triều tước bát quận công đàm cảnh đề tước tiến quận công nguyễn như khuê tước bá quận công
復仍鄭丙舊爵浦郡公黎派爲提督裴仕禎爲署衛事,phục nhưng trịnh bính cựu tước phố quận công lê phái vi đề đốc bùi sĩ trinh vi thự vệ sự
九月大風雨拨木折屋,cửu nguyệt đại phong vũ bạt mộc chiết ốc
清華及山南下畔諸,thanh hoa cập sơn nam hạ bạn chư
縣人民陷没禾榖盡偃,huyện nhân dân hãm một hoà cốc tận yển
吏部尚書知經筵事兼國子監祭酒少傅楊郡公阮宜卒贈太傅賜謚恭懿,lại bộ thượng thư tri kinh diên sự kiêm quốc tử giám tế tửu thiếu phó dương quận công nguyễn nghi tốt tặng thái phó tứ thuỵ cung ý
宜與父實同時進用居官醇謹仕歷貴顯獨尚清約󰰽賢業,nghi dữ phụ thực đồng thời tiến dụng cư quan thuần cẩn sĩ lịch quý hiển độc thượng thanh ước thục hiền nghiệp
時人莫不敬仰焉,thời nhân mạc bất kính ngưỡng yên
冬十月加統領官副都将太保富郡公鄭根爲太傅鄭棟爲少尉,đông thập nguyệt gia thống lĩnh quan phó đô tướng thái bảo phú quận công trịnh căn vi thái phó trịnh đống vi thiếu uý
十一月加恩文武百官各陞職二次爵一次,thập nhất nguyệt gia ân văn võ bách quan các thăng chức nhị thứ tước nhất thứ
戊戌六年二月以後改永壽元年明曆十二年清順治十四年,mậu tuất lục niên nhị nguyệt dĩ hậu cải vĩnh thọ nguyên niên minh lịch thập nhị niên thanh thuận trị thập tứ niên
永春正月以阮性爲佐國營參視鄭登第爲副參視與陳文,vĩnh xuân chính nguyệt dĩ nguyễn tính vi tá quốc dinh tham thị trịnh đăng đệ vi phó tham thị dữ trần văn
󰱇潘兼全竝協同參贊軍務,tuyển phan kiêm toàn tịnh hiệp đồng tham tán quân vụ
二月改元以是年爲永壽元年,nhị nguyệt cải nguyên dĩ thị niên vi vĩnh thọ nguyên niên
大赦,đại xá
夏五月時天下錢幣日用官民出納買賣循習相效揀擇太過至是始禁自今不得揀擇,hạ ngũ nguyệt thì thiên hạ tiền tệ nhật dụng quan dân xuất nạp mãi mại tuần tập tương hiệu giản trạch thái quá chí thị thuỷ cấm tự kim bất đắc giản trạch
其買物者亦不得雜用鉛錫破鈌錢,kì mãi vật giả diệc bất đắc tạp dụng duyên tích phá khuyết tiền
自是財貨通融公私俱便,tự thị tài hoá thông dung công tư câu tiện
時用兵日久用度煩費,thời dụng binh nhật cửu dụng độ phiền phí
令天下入粟各以多少除官有差,lệnh thiên hạ nhập túc các dĩ đa thiểu trừ quan hữu sai
六月瓊瑠仲洽册郎公僅隂懷異志潛引賊徒間行山脚至東城陽洽,lục nguyệt quỳnh lưu trọng hiệp sách lang công cẩn âm hoài dị chí tiềm dẫn tặc đồ gian hành sơn cước chí đông thành dương hiệp
方民騷動,phương dân tao động
統領官富郡公鄭根差黎文暿劉世賡等攻破之,thống lĩnh quan phú quận công trịnh căn sai lê văn hi lưu thế canh đẳng công phá chi
公僅後,công cẩn hậu
復屯聚,phục đồn tụ
再差范晟譚景楷等率兵擒獲檻送京師,tái sai phạm thạnh đàm cảnh khải đẳng suất binh cầm hoạch hạm tống kinh sư
秋七月賊渡河侵興元羙裕阮有佐以寨兵少不敵敗走,thu thất nguyệt tặc độ hà xâm hưng nguyên mĩ dụ nguyễn hữu tá dĩ trại binh thiếu bất địch bại tẩu
黎時憲率所属将校合戦賊聚退還溺死甚多,lê thì hiến suất sở thuộc tướng hiệu hợp chiến tặc tụ thoái hoàn nịch tử thậm đa
乃󰰾阮有佐職爵,nãi bãi nguyễn hữu tá chức tước
八月論陽洽功,bát nguyệt luận dương hiệp công
賜黎文暿爵海郡公,tứ lê văn hi tước hải quận công
以劉世賡黎克悰並爲參督范晟爲提督譚景楷爲參督,dĩ lưu thế canh lê khắc tông tịnh vi tham đốc phạm thạnh vi đề đốc đàm cảnh khải vi tham đốc
是月賊渡河過南塘白塘陶光饒率兵禦之,thị nguyệt tặc độ hà quá nam đường bạch đường đào quang nhiêu suất binh ngự chi
時黄義袗往討賊于東城而回遇賊不䏻救應論罪絞死,thời hoàng nghĩa chẩn vãng thảo tặc vu đông thành nhi hồi ngộ tặc bất năng cứu ứng luận tội giảo tử
冬十月命官考覈天下士望,đông thập nguyệt mệnh quan khảo hạch thiên hạ sĩ vọng
取優等阮晟鄧,thủ ưu đẳng nguyễn thạnh đặng
惟精武惟斷三名中項黄直等十九名並賜銀衣除任内外各職有差,duy tinh vũ duy đoạn tam danh trung hạng hoàng trực đẳng thập cửu danh tịnh tứ ngân y trừ nhậm nội ngoại các chức hữu sai
十一月命陪從阮䏻紹爲佐國營參視,thập nhất nguyệt mệnh bồi tòng nguyễn năng thiệu vi tá quốc dinh tham thị
十二月統領官太傅富郡公鄭根差督率陶光饒領黎時憲鄭世功等同副參視鄭登第分道進討賊徒于香山循禮地方,thập nhị nguyệt thống lĩnh quan thái phó phú quận công trịnh căn sai đốc suất đào quang nhiêu lĩnh lê thì hiến trịnh thế công đẳng đồng phó tham thị trịnh đăng đệ phân đạo tiến thảo tặc đồ vu hương sơn tuần lễ địa phương
諸道皷行而前與賊交戦,chư đạo cổ hành nhi tiền dữ tặc giao chiến
賊徒敗走大致克捷,tặc đồ bại tẩu đại trí khắc tiệp
鄧世功遲緩在後獨無所得,đặng thế công trì hoãn tại hậu độc vô sở đắc
己亥永壽二年明永曆十三年清順治十五年,kỷ hợi vĩnh thọ nhị niên minh vĩnh lịch thập tam niên thanh thuận trị thập ngũ niên
春閏正月論循禮功,xuân nhuận chính nguyệt luận tuần lễ công
以陶光饒爲副将少尉開營號左匡軍頒營,dĩ đào quang nhiêu vi phó tướng thiếu uý khai dinh hiệu tả khuông quân ban dinh
印鄭登第爲鴻矑寺卿禮派子黎時憲爲少保丁文左譚景堅陶世僊黎文登並爲都督同知,ấn trịnh đăng đệ vi hồng lô tự khanh lễ phái tử lê thì hiến vi thiếu bảo đinh văn tả đàm cảnh kiên đào thế tiên lê văn đăng tịnh vi đô đốc đồng tri
其餘陞職有差,kỳ dư thăng chức hữu sai
貶鄧世功爲都督僉事以其逡廵不䏻救應接賊故也,biếm đặng thế công vi đô đốc thiêm sự dĩ kì thuân tuần bất năng cứu ứng tiếp tặc cố dã
二月會試天下士人,nhị nguyệt hội thí thiên hạ sĩ nhân
取中格黎軾等二十名,thủ trung cách lê thức đẳng nhị thập danh
夏四月殿試賜阮國楨阮文璧阮文實等三名進士及第枚仲和等二名進士出身范維質等十五名同進士出身,Cannot translate this text.
六月阮德揚有罪伏誅德揚屯守江岸與賊通同販賣事覺處斬,lục nguyệt nguyễn đức dương hữu tội phục tru đức dương đồn thủ giang ngạn dữ tặc thông đồng phán mại sự giác xứ trảm
九月二日尊封元帥掌,cửu nguyệt nhị nhật tôn phong nguyên soái chưởng
國政西定王爲大元帥掌國政尚師西王,quốc chính tây định vương vi đại nguyên soái chưởng quốc chính thượng sư tây vương
其冊文曰謹󰔄后以圖幾思底泰和之治體周官而錫命盍󰏲尊貴之文,kì sách văn viết cẩn ngù hậu dĩ đồ kỷ tư để thái hoà chi trị thể chu quan nhi tích mệnh hạp kê tôn quý chi văn
榖旦載蠲芝綸誕播,cốc đán tải quyên chi luân đản bá
恭惟翊運賛治功臣元帥掌國政西定王鄭柞英䧺冠古忠厚傳家,cung duy dực vận tán trị công thần nguyên soái chưởng quốc chính tây định vương trịnh tạc anh hùng quan cổ trung hậu truyền gia
